,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
139,Fat Land: How Americans Became the Fattest People in the World,Greg Critser,,,,January,14,2003,256,"Nonfiction, Food, Health, Sociology, Science, History, Politics, Nutrition, Cultural, Cultural Studies","Dagger Hill by Devon  Taylor,, The Witchery by S. Isabelle,, Permafrost by Alastair Reynolds,, Brave New World Revisited by Aldous Huxley,, とんがり帽子のアトリエ 8 [Tongari Bōshi no Atelier 8] by Kamome Shirahama,, A Terrible Fall of Angels by Laurell K. Hamilton,, A Quick & Easy Guide to Asexuality by Molly Muldoon,, Crucible (Sigma Force, #14) by James Rollins,, How to Be Ace: A Memoir of Growing Up Asexual by Rebecca    Burgess,, Kingdom of Bones (Sigma Force, #16) by James Rollins,, Servant Mage by Kate Elliott,, Keep Sharp: Build a Better Brain at Any Age by Sanjay Gupta,, I am Charlotte Simmons by Tom Wolfe,, The Journals of John Cheever by John Cheever,, Rabbit Is Rich (Rabbit Angstrom, #3) by John Updike,, The Circus Infinite by Khan Wong,, The Adventures of Tintin, Vol. 1: Tintin in America / Cigars of the Pharaoh / The Blue Lotus (Tintin, #3-5) by Hergé,, Several People Are Typing by Calvin Kasulke",3.49,2763,650,786,814,292,221,176,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347374326l/778558.jpg,"In this astonishing expose, journalist Greg Critser looks beyond the sensational headlines to reveal why nearly 60 percent of Americans are now overweight. Critser's sharp-eyed reportage and sharp-tongued analysis make for a disarmingly funny and truly alarming book. Critser investigates the many factors of American life -- from supersize to Super Mario, from high-fructose"
140,Fear and Loathing in Las Vegas,Hunter S. Thompson,,,,July,7,1971,204,,"The Basketball Diaries by Jim Carroll,, Junky by William S. Burroughs,, Jesus' Son by Denis Johnson,, High-Rise by J.G. Ballard,, On the Road by Jack Kerouac,, Post Office by Charles Bukowski,, Survivor by Chuck Palahniuk,, The Elephant Tree by R.D. Ronald,, Fight Club by Chuck Palahniuk,, A Clockwork Orange by Anthony Burgess,, Lost in Yaba: Down and Out in Laos by Walt Gleeson,, American Psycho by Bret Easton Ellis,, Naked Lunch by William S. Burroughs,, Trainspotting (Mark Renton #2) by Irvine Welsh,, The Electric Kool-Aid Acid Test by Tom Wolfe,, One Flew Over the Cuckoo's Nest by Ken Kesey,, Slaughterhouse-Five by Kurt Vonnegut Jr.,, Factotum by Charles Bukowski",4.07,322591,131718,111922,56476,15760,6715,7520,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394204569l/7745.jpg,"Fear and Loathing in Las Vegasis the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken."
141,The Fellowship of the Ring,J.R.R. Tolkien,1,The Lord of the Rings,4,July,29,1954,527,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy, Audiobook, Young Adult, Novels","A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin,, Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling,, Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling,, The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis,, Eragon (The Inheritance Cycle, #1) by Christopher Paolini,, The Lord of the Rings: The Art of the Fellowship of the Ring by Gary Russell,, The Hobbit by Chuck Dixon,, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams,, A Game of Thrones #1 by Daniel Abraham,, Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling,, Angels & Demons (Robert Langdon, #1) by Dan Brown,, Dune (Dune, #1) by Frank Herbert,, The Golden Compass (His Dark Materials, #1) by Philip Pullman,, The Name of the Wind (The Kingkiller Chronicle, #1) by Patrick Rothfuss,, The Lord of the Rings: The Two Towers (The Lord of the Rings, #2) by Brian Sibley,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, Ender's Game (Ender's Saga, #1) by Orson Scott Card",4.38,2573776,1524516,665624,261736,71686,50214,29427,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871542l/3263607._SY475_.jpg,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth,"
142,Fiddler on the Roof,"Joseph Stein, Jerry Bock, Sheldon Harnick",,,,,19,1964,168,"Plays, Classics, Theatre, Drama, Fiction, Historical Fiction, Musicals, Music, Humor, Historical","Sweeney Todd: The Demon Barber of Fleet Street by Stephen Sondheim,, A Chorus Line: The Complete Book of the Musical by James Kirkwood Jr.,, The Odd Couple by Neil Simon,, Into the Woods by Stephen Sondheim,, The Zoo Story by Edward Albee,, Rent by Jonathan Larson,, Gypsy by Arthur Laurents,, Working on a Song: The Lyrics of HADESTOWN by Anaïs Mitchell,, Oklahoma! by Richard Rodgers,, The Night of the Iguana by Tennessee Williams,, Driving Miss Daisy by Alfred Uhry,, West Side Story by Irving Shulman,, Come From Away: Welcome to the Rock: An Inside Look at the Hit Musical by Irene Sankoff,, She Kills Monsters by Qui Nguyen,, Noises Off by Michael Frayn,, Hairspray: The Complete Book and Lyrics of the Hit Broadway Musical by Mark O\'Donnell,, Inherit the Wind by Jerome Lawrence,, The Complete Phantom of the Opera by George C. Perry",4.22,15748,7812,4584,2560,568,224,111,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347523415l/294951.jpg,"The full text and complete lyrics, as well as photographs from the original production. One of the great works of the American musical theatre. It is darling, touching, beautiful, warm, funny and inspiring. It is a work of art. -John Chapman, Daily News"
143,Finnegans Wake,James Joyce,,,,May,4,1939,628,"Fiction, Classics, Literature, Ireland, Irish Literature, Novels, Literary Fiction, 20th Century, Classic Literature, Unfinished","A Skeleton Key to Finnegans Wake: James Joyce's Masterwork Revealed by Joseph Campbell,, Gravity's Rainbow by Thomas Pynchon,, A Reader's Guide to Finnegans Wake by William York Tindall,, James Joyce by Richard Ellmann,, The Recognitions by William Gaddis,, Mason & Dixon by Thomas Pynchon,, Pale Fire by Vladimir Nabokov,, The Tunnel by William H. Gass,, Miss Lonelyhearts / The Day of the Locust by Nathanael West,, Molloy / Malone Dies / The Unnamable by Samuel Beckett,, Corpus Hermeticum by G.R.S. Mead,, The Life and Opinions of Tristram Shandy, Gentleman by Laurence Sterne,, V. by Thomas Pynchon,, JR by William Gaddis,, Women in Love by D.H. Lawrence,, Annotations to  Finnegans Wake by Roland McHugh,, Murphy by Samuel Beckett,, The Western Canon: The Books and School of the Ages by Harold Bloom",3.67,12122,4039,3289,2653,1058,1083,1072,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336408055l/11013.jpg,"A story with no real beginning or end (it ends in the middle of a sentence and begins in the middle of the same sentence), this ""book of Doublends Jined"" is as remarkable for its prose as for its circular structure.Written in a fantastic dream-language, forged from polyglot puns and portmanteau words, the Wake features some of Joyce's most hilarious characters: the Irish"
144,Firewall: The Iran-Contra Conspiracy and Cover-up,Lawrence E. Walsh,,,,June,19,1997,544,"History, Politics, Nonfiction, American History, True Crime, Crime, Iran, War, United States","The Sentinel (Jack Reacher, #25) by Lee Child,, Off Mike: How a Kid from Basketball-Crazy Indiana Became America's NHL Voice by Mike Emrick,, How to be a Champion Every Day: 6 Timeless Keys to Success by Joe Theismann,, The Undoing Project: A Friendship That Changed Our Minds by Michael   Lewis,, David Silva - El Mago: A Decade Of Magic: Official Manchester City FC Tribute Book by Manchester City,, Fiber Fueled: The Plant-Based Gut Health Program for Losing Weight, Restoring Your Health, and Optimizing Your Microbiome by Will Bulsiewicz,, Sports from Hell: My Search for the World's Dumbest Competition by Rick Reilly,, The Water is Wide by Pat Conroy,, The Noble Hustle: Poker, Beef Jerky, and Death by Colson Whitehead,, The Engine 2 Seven-Day Rescue Diet: Eat Plants, Lose Weight, Save Your Health by Rip Esselstyn,, Blue Moon (Jack Reacher, #24) by Lee Child,, Gods at Play: An Eyewitness Account of Great Moments in American Sports by Tom Callahan,, Everywoman: One Woman’s Truth About Speaking the Truth by Jess Phillips,, Jamie Does... by Jamie Oliver,, We Never Win At Home, We Never Win Away: The Inside Story of Manchester City's Legendary Fans by Don Price,, Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook by Anthony Bourdain,, Dirty Blonde: The Diaries of Courtney Love by Courtney Love,, Serious Noticing: Selected Essays, 1997-2019 by James  Wood",3.69,67,13,27,21,5,1,9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388370853l/207812.jpg,"With Ronald Reagan's knowledge and support, the United States attempted to trade arms for hostages held by Iranian terrorists; some of the secret money then funded the guerrilla activities of the Nicaraguan Contras, a counter-revolutionary group that Congress had specifically forbidden the administration to support. In this historic, first-person account, the independent c"
145,The First Folio of Shakespeare: 1623,"William Shakespeare, Doug Moston",,,,,16,1623,896,"Classics, Drama, Literature, Poetry, Plays, Fiction","Silas Marner by George Eliot,, Alice's Adventures in Wonderland / Through the Looking-Glass by Lewis Carroll,, De wolvenvrouw by Adam Armstrong,, The Holy Bible: King James Version by Anonymous,, All the Pretty Horses (The Border Trilogy, #1) by Cormac McCarthy,, Ulysses by James Joyce,, The Sound and the Fury by William Faulkner,, The Waste Land and Other Poems by T.S. Eliot,, Howl and Other Poems by Allen Ginsberg,, The Nix by Nathan  Hill,, In Search of Lost Time by Marcel Proust,, Finnegans Wake by James Joyce,, The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1) by Jonas Jonasson,, The Tenant of Wildfell Hall by Anne Brontë,, The Book of Merlyn (The Once and Future King, #5) by T.H. White,, Snow Falling on Cedars by David Guterson,, When We Were Orphans by Kazuo Ishiguro",4.79,248,208,31,7,2,0,17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388217681l/277928.jpg,"COMEDIES.The Tempest.The Two Gentlemen of Verona.The Merry Wives of Windsor.Measure for Measure.The Comedy of Errours.Much adoo about NothingLoves Labour lost.Midsommer Nights Dreame.The Merchant of Venice.As you Like it.The Taming of the Shrew.All is well, that Ends well.Twelfe-Night, or what you will.The Winters Tale.HISTORIES.The Life and Death of King John.The Life &"
146,The Five People You Meet in Heaven,Mitch Albom,1,The Five People You Meet in Heaven,2,September,1,2003,196,"Fiction, Inspirational, Contemporary, Fantasy, Classics, Adult, Spirituality, Adult Fiction, Philosophy, Novels","Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back by Todd Burpo,, The Shack by William Paul Young,, Mitch Albom's Tuesdays With Morrie by Jeffrey Hatcher,, The Purpose Driven Life: What on Earth Am I Here for? by Rick Warren,, The Alchemist by Paulo Coelho,, Left Behind (Left Behind, #1) by Tim LaHaye,, The Last Lecture by Randy Pausch,, The 5 Love Languages: The Secret to Love that Lasts by Gary Chapman,, The Lovely Bones by Alice Sebold,, 90 Minutes in Heaven: A True Story of Death and Life by Don Piper,, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia by Elizabeth Gilbert,, My Sister's Keeper by Jodi Picoult,, The Kite Runner by Khaled Hosseini,, The Four Agreements: A Practical Guide to Personal Freedom by Miguel Ruiz,, It Ends with Us by Colleen Hoover,, The Help by Kathryn Stockett,, Bookshop by the Sea by Denise Hunter,, The Secret Life of Bees by Sue Monk Kidd",3.96,642517,238978,210978,136301,40693,15567,23713,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541l/3431.jpg,"From the author of the phenomenal #1 New York Times bestseller Tuesdays with Morrie, a novel that explores the unexpected connections of our lives, and the idea that heaven is more than a place; it's an answer.Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday"
147,Flavor of the Month,Olivia Goldsmith,,,,April,1,1993,880,"Fiction, Chick Lit, Romance, Novels, Contemporary, Adult Fiction, Humor, Roman","We Met in December by Rosie Curtis,, Вечната Амбър - Втори том by Kathleen Winsor,, Вечната Амбър - Първи том by Kathleen Winsor,, Sugar Cookie Murder (Hannah Swensen, #6) by Joanne Fluke,, Don't Stop Me Now by Colleen Coleman,, Livet, motorcyklar och andra omöjliga projekt by Katarina Bivald,, Eon (The Way, #1) by Greg Bear,, Very Far Away from Anywhere Else by Ursula K. Le Guin,, Collected Poems, 1909-1962 by T.S. Eliot,, From Beirut to Jerusalem by Thomas L. Friedman,, Top 10, Vol. 1 by Alan Moore,, Astro City, Vol. 4: The Tarnished Angel by Kurt Busiek,, Astro City, Vol. 1: Life in the Big City by Kurt Busiek,, Top 10, Vol. 2 by Alan Moore,, Three Rivers by Roberta Latow,, As Meat Loves Salt by Maria McCann,, Paint The Wind by Cathy Cash Spellman,, Old School by Tobias Wolff",3.79,1005,274,349,295,68,19,68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390363067l/202200.jpg,"With all the brio and brass of her best-selling debut novel, The First Wives Club, Olivia Goldsmith now turns to Hollywood - with this sharp, sassy Cinderella story, updated nineties style. Actress Mary Jane Moran - never a beauty - has just lost not only the off-Broadway role she created but also the only man she ever loved. Hollywood has stolen both, and rejected her as"
148,Fletch,Gregory McDonald,1,Fletch,11,March,12,1974,197,"Mystery, Fiction, Crime, Humor, Novels, Detective, Mystery Thriller, Thriller, Comedy, Audiobook","Somebody Owes Me Money by Donald E. Westlake,, A Stab in the Dark (Matthew Scudder, #4) by Lawrence Block,, The Girl Beneath the Sea (Underwater Investigation Unit, #1) by Andrew Mayne,, The Outfit (Parker, #3) by Richard Stark,, The Hunter (Parker, #1) by Richard Stark,, The Man With The Getaway Face (Parker, #2) by Richard Stark,, Troublemaker (Dave Brandstetter, #3) by Joseph Hansen,, Cat Got Your Secrets (Kitty Couture Mystery #3) by Julie Chase,, Who is Teddy Villanova? by Thomas Berger,, Cat Got Your Crown (Kitty Couture Mystery #4) by Julie Chase,, Cat Got Your Cash (Kitty Couture Mystery #2) by Julie Chase,, In the Midst of Death (Matthew Scudder, #3) by Lawrence Block,, A Cool Breeze on the Underground (Neal Carey, #1) by Don Winslow,, Time to Murder and Create (Matthew Scudder, #2) by Lawrence Block,, The Werewolf's 15 Minutes by Jonathan Maberry,, The Mourner (Parker, #4) by Richard Stark,, Eight Million Ways to Die (Matthew Scudder, #5) by Lawrence Block,, The Seventh (Parker, #7) by Richard Stark",3.91,6537,1879,2664,1602,301,91,517,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389926023l/484531.jpg,Fletch: He’s an investigative reporter whose methods are a little unorthodox. Currently he’s living on the beach with the strung-out trying to find to the source of the drugs they live for.FletchHe’s taking more than a little flack from his editor. She doesn’t appreciate his style. Or the expense account items he’s racking up. Or his definition of the worddeadline. Or th
149,Flowers for Algernon,Daniel Keyes,,,,April,19,1959,216,,"Fahrenheit 451 by Ray Bradbury,, Of Mice and Men by John Steinbeck,, As 220 Mortes de Laura Lins by Rafael Weschenfelder,, The Outsiders by S.E. Hinton,, Adivinha quem não voltou pra casa? by Pedro Poeira,, Tudo é rio by Carla Madeira,, Brave New World by Aldous Huxley,, Slaughterhouse-Five by Kurt Vonnegut Jr.,, Animal Farm by George Orwell,, Torto Arado by Itamar Vieira Junior,, The Days of Perky Pat by Philip K. Dick,, Lord of the Flies by William Golding,, One Flew Over the Cuckoo's Nest by Ken Kesey,, The Bell Jar by Sylvia Plath,, The Giver (The Giver, #1) by Lois Lowry,, Mother Hitton's Littul Kittons by Cordwainer Smith,, The Stranger by Albert Camus,, The Metamorphosis by Franz Kafka",4.17,561460,247793,195380,91541,20427,6319,24358,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510416245l/36576608.jpg,"The story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. In diary entries, Charlie tells how a brain operation increases his IQ and changes his life. As the experimental procedure takes effect, Charlie's intelligence expands until it surpasses that of the doctors who engineered his metamorphosis. T"
